Source,TimestampEndOfFirstWave,TimestampEndOfSecondWave,UrlCount,TimeDifference,UrlsPerDay
not-found-10-fat-peafowl-went-patiently,1556742405.17,1558374414.73,877,1632009.5599999428,46.42913979008962
not-found-15-high-swans-cried-correctly,1556816861.13,1558277183.43,1829,1460322.2999999523,108.21282397728581
not-found-15-thirsty-robins-sat-easily,1557417188.89,1558726152.93,1,1308964.0399999619,0.06600639693662058
not-found-16-dry-robins-married-quietly,1556967380.34,1558079085.1,277,1111704.7599999905,21.528017924471424
not-found-21-bad-squirrels-whimpered-fast,1557051674.85,1558092291.93,3168,1040617.0800001621,263.0316235055044
not-found-25-dangerous-geese-played-loudly,1556729085.4,1557927624.85,5314,1198539.4499998093,383.074249245674
not-found-31-comfortable-stoats-knitted-easily,1557316809.1,1558455069.55,5442,1138260.4500000477,413.0766381279261
not-found-32-useful-salmons-engaged-quietly,1556729678.72,1558342685.25,3096,1613006.5299999714,165.83590644236557
not-found-33-low-cockles-drove-carefully,1556822403.42,1557982246.9,392,1159843.480000019,29.20118152494114
not-found-33-sad-mussles-hid-correctly,1556852113.45,1558100517.12,35,1248403.6699998379,2.4222934237291955
not-found-7-strong-parrots-walked-merrily,1557164616.62,1558292614.86,3143,1127998.2400000095,240.74080115585795
